Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
1,1,5,9773,1,1,130.0,1,34,38,0,8,128.3,1,0,0,0,0,1,18,0,0,6,12,3,12.0,0,0,6,15,3,1.06666666666666E+016,0,7.6,2.6,0.32,Dropout
1,43,1,9254,1,1,130.0,1,1,19,5,7,130.0,0,0,0,1,0,1,19,0,0,6,11,4,12.0,0,0,6,14,3,11.0,0,10.8,1.4,1.74,Dropout
1,17,2,9853,1,1,131.0,1,1,38,4,8,121.9,1,0,0,1,0,0,19,0,0,6,10,5,12.6,0,0,6,7,5,11.2,0,10.8,1.4,1.74,Graduate
1,1,5,9238,1,3,135.0,1,1,38,9,3,129.4,0,0,1,1,0,0,18,0,0,6,6,6,1.21666666666666E+016,0,0,6,6,6,1.23333333333333E+016,0,10.8,1.4,1.74,Graduate
1,1,2,9853,1,1,123.0,1,19,1,194,103,115.3,1,0,0,1,0,0,20,0,0,7,8,6,13.5,0,0,7,8,6,14.0,0,11.1,0.6,2.02,Enrolled
1,1,5,9500,1,1,145.0,1,38,38,9,9,125.5,1,0,0,1,0,1,18,0,0,8,8,8,1376375,0,0,8,8,8,1376375,0,9.4,-0.8,-3.12,Graduate
1,17,6,9556,1,1,118.0,1,38,38,5,5,117.8,1,0,0,1,0,1,19,0,0,7,11,6,12.4,0,0,7,8,6,12.8,0,11.1,0.6,2.02,Graduate
1,17,3,9147,1,1,125.0,1,3,38,2,10,118.7,1,0,0,1,0,0,18,0,0,5,16,4,1.06666666666666E+016,0,0,5,11,2,12.0,0,13.9,-0.3,0.79,Enrolled
1,1,2,9500,1,1,152.0,1,37,37,9,9,139.0,1,0,0,1,0,0,18,0,0,7,7,6,1.43333333333333E+016,0,0,7,7,6,1.43333333333333E+016,0,7.6,2.6,0.32,Graduate
1,1,1,9085,1,1,101.0,1,1,37,4,9,98.9,1,0,0,1,0,0,21,0,0,6,12,4,12.5,0,0,6,13,2,1.26666666666666E+016,0,11.1,0.6,2.02,Enrolled
1,17,1,9254,1,1,137.0,1,34,38,0,7,137.7,1,0,1,0,0,0,19,0,0,6,14,1,10.0,0,0,6,13,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,4,9500,1,1,123.0,1,1,1,3,3,113.6,1,0,0,1,0,0,21,0,0,7,8,7,1469625,0,0,8,9,8,1.46222222222222E+016,0,12.4,0.5,1.79,Graduate
1,1,1,9085,1,1,120.0,1,4,1,2,9,113.4,0,0,0,1,0,0,18,0,0,6,14,4,11.5,0,0,6,17,3,13.75,0,11.1,0.6,2.02,Enrolled
1,17,3,9556,1,1,131.0,1,19,38,9,7,128.5,0,0,0,1,0,1,18,0,0,7,9,7,1.28555555555555E+016,0,0,8,8,8,139125,0,12.7,3.7,-1.7,Graduate
1,1,1,9500,1,1,141.0,1,1,1,3,10,142.8,0,0,0,1,0,0,18,0,0,7,7,7,13.7,0,0,8,9,8,1.39944444444444E+016,0,11.1,0.6,2.02,Graduate
1,1,1,9130,1,1,144.0,1,3,1,1,3,137.7,0,0,0,0,0,0,23,0,0,5,9,0,0.0,3,1,5,10,1,12.0,3,10.8,1.4,1.74,Dropout
1,1,1,9238,1,1,107.0,1,19,37,7,7,103.5,1,0,0,1,0,0,20,0,0,6,13,3,11.2,0,0,6,9,4,12.0,0,16.2,0.3,-0.92,Enrolled
1,1,1,9500,1,1,133.0,1,38,38,5,5,123.2,0,0,0,1,0,0,18,0,0,7,7,7,1.32857142857142E+016,0,0,8,9,8,1.33333333333333E+016,0,16.2,0.3,-0.92,Graduate
1,17,2,9853,1,1,126.0,1,1,19,2,10,126.0,1,0,0,1,0,0,19,0,0,6,9,5,13.0,0,0,6,8,5,10.4,0,7.6,2.6,0.32,Enrolled
1,39,1,9500,1,1,133.1,1,1,38,3,7,121.7,0,0,0,1,0,1,27,0,0,7,8,6,12.6,0,0,7,9,6,1.16857142857142E+016,0,12.4,0.5,1.79,Enrolled
1,17,1,9147,1,1,147.0,1,37,37,9,6,142.8,1,0,1,0,0,1,19,0,0,5,5,5,12.8,0,0,5,5,4,12.0,0,11.1,0.6,2.02,Enrolled
1,43,1,9130,1,1,120.0,1,1,19,9,9,120.0,1,0,0,1,0,0,21,0,0,6,14,5,11.5,1,0,6,13,5,11.0,1,15.5,2.8,-4.06,Dropout
1,18,1,9500,1,1,130.0,1,37,38,7,8,119.3,1,0,0,1,0,1,19,0,0,8,8,7,11.4,0,0,8,8,7,11.4,0,10.8,1.4,1.74,Graduate
1,44,1,9238,1,1,120.0,1,37,37,6,9,121.0,0,0,0,1,0,1,21,0,3,6,6,6,1.23333333333333E+016,0,2,6,8,6,1.13333333333333E+016,0,13.9,-0.3,0.79,Graduate
1,1,5,9773,1,1,138.0,1,19,19,9,9,139.4,1,0,0,1,0,0,18,0,0,6,7,5,12.8,0,0,6,10,4,12.2,0,10.8,1.4,1.74,Graduate
1,17,1,9085,1,1,124.0,1,19,38,7,7,113.9,1,0,0,1,0,1,20,0,0,5,8,5,12.0,1,0,5,8,4,15.0,1,12.7,3.7,-1.7,Graduate
1,1,1,9853,1,1,133.0,1,37,37,9,7,124.6,1,0,0,1,0,1,18,0,0,6,8,5,13.0,0,0,6,9,5,13.5,0,9.4,-0.8,-3.12,Graduate
1,17,1,9070,1,1,122.0,1,1,1,4,8,123.8,1,0,1,0,0,1,18,0,0,6,6,6,1.18333333333333E+016,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Dropout
1,1,3,9085,1,1,138.0,1,1,3,4,4,126.3,1,0,0,1,0,0,18,0,0,6,8,6,14.0,0,0,6,9,6,1.33333333333333E+016,0,8.9,1.4,3.51,Graduate
1,17,4,9773,1,1,134.0,1,1,1,3,3,120.4,1,0,0,1,0,1,18,0,0,6,6,6,1.23333333333333E+016,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate
1,1,3,9500,1,1,128.0,1,1,1,7,7,120.5,1,0,0,1,0,1,19,0,0,7,10,5,13.04,0,0,7,7,7,12.5,0,12.4,0.5,1.79,Enrolled
1,53,1,9085,1,42,140.0,1,19,38,8,9,144.9,1,0,1,0,0,0,23,0,7,11,18,11,1.31666666666666E+016,0,4,9,15,8,1.33333333333333E+016,0,8.9,1.4,3.51,Enrolled
1,39,1,9085,1,19,133.1,1,19,19,4,9,139.9,1,0,0,1,0,1,24,0,1,6,7,6,12.5,0,0,6,11,6,1.28333333333333E+016,0,8.9,1.4,3.51,Graduate
1,1,1,171,1,1,142.0,1,1,1,3,3,133.3,1,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
1,1,3,9500,1,1,141.0,1,19,19,9,9,126.0,1,0,0,1,0,0,18,0,0,8,8,7,1.56571428571428E+016,0,0,8,8,7,1.56571428571428E+016,0,12.7,3.7,-1.7,Graduate
1,1,2,9070,1,1,145.0,1,1,19,4,3,133.5,0,0,0,1,0,0,19,0,0,6,6,6,1.21666666666666E+016,0,0,6,6,6,1.13333333333333E+016,0,12.7,3.7,-1.7,Graduate
1,17,2,9853,1,1,145.0,1,38,19,4,9,127.9,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,1,1,9238,1,1,108.0,1,1,38,5,8,105.9,0,0,0,1,0,1,20,0,0,6,11,5,10.6,0,0,6,9,5,1.11666666666666E+016,0,11.1,0.6,2.02,Enrolled
1,1,1,9085,1,1,132.0,1,1,12,4,5,124.3,0,0,0,1,0,0,20,0,0,6,10,6,1.34285714285714E+016,0,0,6,11,5,1.26666666666666E+016,0,13.9,-0.3,0.79,Enrolled
1,39,1,9773,1,1,140.0,1,34,37,0,0,102.5,0,0,0,1,0,0,26,0,0,6,8,4,11.75,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
1,39,1,9254,1,19,133.1,1,19,1,9,5,97.0,0,0,1,0,1,0,36,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
1,17,1,171,1,1,128.0,1,1,1,4,10,134.7,0,0,0,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,42,1,9119,1,1,120.0,1,19,37,9,9,113.8,0,0,0,0,1,0,27,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
1,1,4,9119,1,1,120.0,1,3,1,123,152,116.9,0,0,0,1,1,0,18,0,0,5,9,1,13.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
1,1,4,9500,1,1,139.0,1,37,38,9,9,124.0,1,0,0,1,1,1,18,0,0,8,8,7,1.33314285714285E+016,0,0,8,8,7,1.33314285714285E+016,0,10.8,1.4,1.74,Graduate
1,39,1,9070,1,1,139.3,1,38,38,5,5,117.5,0,0,0,1,1,0,28,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
1,44,1,171,1,39,150.0,1,19,1,9,9,154.8,1,0,0,1,1,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
1,1,1,9500,1,1,138.0,1,19,37,4,9,141.0,0,0,0,1,1,0,19,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
1,39,1,9670,1,9,133.1,1,6,22,3,3,120.0,0,0,1,0,1,0,26,0,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,4,9,12,9,1.34545454545454E+016,0,2,7,9,6,13875,0,11.1,0.6,2.02,Dropout
1,1,6,9500,1,1,134.0,1,38,38,9,9,122.0,1,0,0,1,1,0,19,0,0,8,8,7,12.2,0,0,8,8,7,12.2,0,12.7,3.7,-1.7,Graduate
1,1,1,9147,1,1,140.0,1,19,19,7,3,120.0,1,0,0,1,1,0,21,0,0,5,8,3,10.0,0,0,5,10,4,11.0,0,12.7,3.7,-1.7,Dropout
1,53,1,9670,1,42,110.0,1,1,19,9,9,114.2,0,0,0,1,1,1,23,0,0,6,7,5,13.0,0,0,6,7,6,1.28571428571428E+016,0,8.9,1.4,3.51,Graduate
1,39,1,8014,0,38,133.1,1,38,37,4,8,95.5,0,0,0,1,1,0,29,0,0,6,11,6,12.0,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Graduate
1,1,1,9500,1,1,129.0,1,1,1,9,9,120.0,0,0,0,1,1,0,20,0,0,8,8,7,1.50285714285714E+016,0,0,8,8,7,1.50285714285714E+016,0,12.7,3.7,-1.7,Graduate
1,1,1,9238,1,1,116.0,1,1,19,5,9,111.1,0,0,0,1,1,0,18,0,0,6,8,6,12.0,0,0,6,7,6,1.17142857142857E+016,0,15.5,2.8,-4.06,Graduate
1,1,1,9773,1,1,130.0,1,1,38,3,5,128.6,1,0,0,1,1,0,19,0,0,6,8,5,12.0,0,0,6,8,5,12.4,0,9.4,-0.8,-3.12,Graduate
1,7,1,9556,1,3,130.0,1,1,37,4,8,130.0,0,0,0,0,1,0,23,0,3,7,7,3,1.36666666666666E+016,0,3,8,8,3,1.13333333333333E+016,4,10.8,1.4,1.74,Dropout
1,1,1,171,1,1,116.0,1,38,1,5,1,111.1,0,0,0,1,1,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
1,17,1,9147,1,1,136.0,1,1,1,9,3,122.7,1,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,7,4,12.5,0,15.5,2.8,-4.06,Enrolled
1,1,1,171,1,1,147.0,1,37,19,7,7,134.4,1,0,0,1,1,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
1,1,5,9070,1,1,117.0,1,19,37,5,5,131.0,1,0,1,0,1,0,21,0,0,6,6,1,14.0,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout
1,51,1,9238,1,1,141.0,1,1,1,5,9,125.0,0,0,0,1,1,0,22,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout
1,18,1,9556,1,1,133.1,1,3,19,2,8,106.0,1,0,0,1,1,0,21,0,0,7,8,7,12375,0,0,7,11,5,1.25833333333333E+016,0,8.9,1.4,3.51,Graduate
1,39,1,9500,1,1,133.1,1,38,19,9,9,128.0,1,0,0,0,1,0,32,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout
1,7,1,9003,1,3,120.0,1,1,19,4,1,120.0,1,0,0,1,1,0,27,0,14,18,21,18,1.14210526315789E+016,0,10,13,16,13,1.1076923076923E+016,1,15.5,2.8,-4.06,Graduate
1,1,1,9500,1,1,148.0,1,19,38,9,8,134.8,1,0,0,1,1,0,18,0,0,7,7,6,13.35,0,0,7,7,6,13.35,0,7.6,2.6,0.32,Graduate
1,39,1,9070,1,1,130.0,1,1,1,5,3,112.0,1,0,0,1,1,1,24,0,0,6,6,6,15.0,0,0,6,6,2,16.0,0,15.5,2.8,-4.06,Graduate
1,1,1,9130,1,1,120.0,1,19,37,1,9,116.1,1,0,0,1,1,0,22,0,0,5,9,2,10.5,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
1,43,1,9130,1,1,120.0,1,2,3,3,2,120.0,1,0,0,0,1,0,22,0,0,6,0,0,0.0,0,0,4,6,0,0.0,2,10.8,1.4,1.74,Dropout
1,1,3,9147,1,1,133.0,1,37,37,9,5,119.7,1,0,0,1,1,0,19,0,0,5,8,5,13.25,0,0,5,6,5,1.18333333333333E+016,0,13.9,-0.3,0.79,Graduate
1,17,6,9119,1,1,129.0,1,37,13,4,90,117.1,1,0,0,1,1,0,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
1,1,2,9085,1,1,118.0,1,1,19,3,3,112.4,1,0,0,1,1,0,21,0,0,5,7,4,11.5,0,0,5,15,3,10.6,4,10.8,1.4,1.74,Enrolled
1,1,2,9500,1,1,140.0,1,1,1,2,7,131.0,1,0,0,1,0,1,18,0,0,8,8,8,1388125,0,0,8,8,8,1388125,0,9.4,-0.8,-3.12,Graduate
1,1,2,9254,1,1,127.0,1,3,19,3,10,130.9,1,0,0,1,0,0,18,0,0,6,8,6,1.13333333333333E+016,0,0,6,8,5,12.6,0,9.4,-0.8,-3.12,Graduate
1,1,1,171,1,1,131.0,1,19,19,9,9,134.9,1,0,1,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
1,17,1,9238,1,1,132.0,1,1,19,4,9,127.1,1,0,0,1,0,0,19,0,0,6,7,6,1.28571428571428E+016,0,0,6,7,6,1.36666666666666E+016,0,13.9,-0.3,0.79,Graduate
1,17,5,9773,1,1,113.0,1,38,38,191,175,110.2,1,0,1,1,0,0,19,0,0,6,6,5,11.6,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
1,17,1,9254,1,1,115.0,1,12,1,9,3,108.7,1,0,0,1,0,1,18,0,0,6,9,5,11.4,0,0,6,6,6,1.13333333333333E+016,0,12.4,0.5,1.79,Graduate
1,1,1,9130,1,1,133.1,1,1,1,3,9,138.0,1,0,0,1,0,0,20,0,0,6,11,6,1.33333333333333E+016,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Enrolled
1,44,1,9070,1,39,150.0,1,12,37,3,9,147.7,0,0,1,1,0,1,22,0,2,7,7,7,1.35714285714285E+016,0,5,9,9,9,1377777777777770,0,12.4,0.5,1.79,Graduate
2,39,1,9556,1,19,133.1,1,37,38,9,9,123.0,0,0,0,1,0,0,31,0,0,7,13,6,1.18333333333333E+016,0,0,7,8,7,1.22285714285714E+016,0,12.4,0.5,1.79,Graduate
1,17,1,9853,1,1,141.0,1,19,19,9,8,142.8,0,0,0,1,0,1,19,0,0,7,7,7,1.44285714285714E+016,0,0,7,7,7,1.41428571428571E+016,0,16.2,0.3,-0.92,Graduate
1,1,2,171,1,1,140.0,1,1,3,3,3,138.3,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
1,1,2,9254,1,1,136.0,1,38,38,9,7,125.2,1,0,0,1,0,1,18,0,0,6,8,6,1.22857142857142E+016,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
1,1,1,9085,1,1,140.0,1,12,1,1,90,141.8,0,0,0,1,0,0,21,0,0,5,7,5,14.4,0,0,5,5,5,13.8,0,7.6,2.6,0.32,Graduate
1,17,5,9500,1,1,143.0,1,38,1,9,7,130.6,1,0,0,1,0,1,18,0,0,7,8,7,13.15,0,0,8,9,8,1506875,0,13.9,-0.3,0.79,Graduate
1,44,1,9147,1,39,130.0,22,2,37,2,8,130.0,0,0,1,0,1,0,25,1,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
1,15,1,9119,1,1,133.1,41,1,3,5,8,100.0,0,0,1,1,1,0,21,1,0,5,5,0,0.0,0,0,6,8,0,0.0,0,11.1,0.6,2.02,Dropout
1,18,2,9500,1,1,129.0,1,38,37,5,5,119.0,1,0,0,1,0,1,19,0,0,8,8,7,1.23428571428571E+016,0,0,8,8,7,1.23428571428571E+016,0,10.8,1.4,1.74,Graduate
1,1,2,9773,1,1,132.0,1,38,1,9,9,124.3,1,0,0,1,0,0,19,0,0,6,6,5,12.2,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
1,17,1,9254,1,1,118.0,1,11,34,5,0,122.2,1,0,0,1,0,0,22,0,0,6,10,4,10.5,0,0,6,14,1,11.0,0,7.6,2.6,0.32,Dropout
1,15,1,9147,1,1,150.0,1,38,1,9,1,150.0,0,0,0,1,1,0,19,0,0,5,5,5,10.6,0,0,5,8,5,11.6,0,12.4,0.5,1.79,Graduate
1,39,1,8014,0,19,133.1,1,37,37,9,5,135.5,0,0,0,1,0,0,58,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
1,16,2,9238,1,1,122.0,1,19,37,9,7,127.3,1,0,0,1,0,1,19,0,0,6,8,4,11.25,0,0,6,6,6,12.0,0,10.8,1.4,1.74,Graduate
1,43,1,9670,1,1,127.0,22,37,37,9,9,127.0,1,0,0,1,1,0,23,1,3,9,11,6,10.5,0,4,10,10,10,11.7,0,9.4,-0.8,-3.12,Graduate
1,1,2,9773,1,1,122.0,1,37,37,9,9,126.9,1,0,0,1,0,1,19,0,0,6,11,4,11.0,0,0,6,11,3,1.16666666666666E+016,0,9.4,-0.8,-3.12,Enrolled
1,18,3,9500,1,1,131.0,1,19,1,4,7,127.5,1,0,0,1,0,0,18,0,0,7,7,7,1.34571428571428E+016,0,0,8,8,8,145125,0,13.9,-0.3,0.79,Graduate
1,1,2,9085,1,1,130.0,1,19,19,90,90,122.0,0,0,0,1,0,0,20,0,0,5,6,5,12.6,0,0,5,8,4,1.23333333333333E+016,0,7.6,2.6,0.32,Graduate
1,17,5,9085,1,1,130.0,1,19,19,90,7,115.8,0,0,0,0,0,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,17,1,9670,1,1,130.0,1,3,19,5,5,121.6,0,0,0,1,0,0,18,0,0,6,6,6,1.36666666666666E+016,0,0,6,8,5,13.6,0,8.9,1.4,3.51,Graduate
1,17,4,9147,1,1,122.0,1,19,19,5,7,116.4,1,0,1,1,0,1,18,0,0,5,5,5,11.6,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduate
1,39,1,9130,1,1,114.0,1,38,38,9,10,120.0,0,0,0,1,0,0,24,0,0,6,9,6,1.25714285714285E+016,0,0,6,10,5,1.28333333333333E+016,0,11.1,0.6,2.02,Dropout
1,17,4,9853,1,1,143.0,1,37,37,9,5,127.3,1,0,0,1,0,0,18,0,0,6,7,5,11.8,0,0,6,7,5,11.4,0,10.8,1.4,1.74,Dropout
1,1,3,9147,1,1,127.0,1,1,38,5,7,123.5,1,0,0,1,0,1,19,0,0,5,5,5,11.6,0,0,5,11,3,1.26666666666666E+016,0,9.4,-0.8,-3.12,Enrolled
1,17,3,9238,1,1,141.0,1,19,38,9,7,125.6,1,0,0,1,0,1,19,0,0,6,8,6,1.13333333333333E+016,0,0,6,6,6,1.18333333333333E+016,0,8.9,1.4,3.51,Graduate
1,1,1,9254,1,1,129.0,1,38,38,6,6,118.5,1,0,0,1,0,0,18,0,0,6,6,6,1.06666666666666E+016,0,0,6,6,6,11.5,0,7.6,2.6,0.32,Graduate
1,1,2,9130,1,1,140.0,1,19,37,9,9,129.5,1,0,0,1,0,0,18,0,0,5,10,4,13.5,1,0,5,5,5,13.4,0,12.7,3.7,-1.7,Enrolled
1,1,1,171,1,1,137.0,1,19,19,5,5,134.6,1,0,0,1,0,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
1,44,1,9085,1,1,140.0,1,4,4,2,6,140.0,0,0,0,1,0,0,22,0,2,6,9,6,1.33333333333333E+016,0,1,6,9,4,11.5,0,13.9,-0.3,0.79,Graduate
1,1,1,9254,1,1,143.0,1,2,37,1,1,133.2,1,0,0,1,0,0,19,0,0,6,9,5,13.4,0,0,6,16,2,13.5,0,10.8,1.4,1.74,Enrolled
3,17,1,9238,1,1,138.0,1,37,37,9,9,133.5,1,0,0,1,0,1,21,0,0,6,8,3,10.2,0,0,6,13,4,12.25,0,12.7,3.7,-1.7,Enrolled
1,17,1,9773,1,1,120.0,1,19,38,9,7,117.9,1,0,0,1,0,1,21,0,0,6,6,5,13.0,0,0,6,7,6,1.28333333333333E+016,0,8.9,1.4,3.51,Graduate
1,1,3,9500,1,1,144.0,1,38,38,5,7,128.0,1,0,0,1,0,1,18,0,0,8,11,7,1290857142857140,0,0,8,11,7,1290857142857140,0,10.8,1.4,1.74,Graduate
1,1,5,9853,1,1,123.0,1,1,12,4,9,113.2,1,0,0,1,0,0,20,0,0,6,12,4,12.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout
1,1,3,9254,1,1,129.0,1,37,38,7,7,122.0,1,0,0,1,0,1,18,0,0,6,9,6,1.08333333333333E+016,0,0,6,8,5,11.0,0,7.6,2.6,0.32,Enrolled
1,16,3,9070,1,1,152.0,1,1,38,4,8,156.9,1,0,0,1,0,0,19,0,0,6,6,6,1.53333333333333E+016,0,0,6,9,6,1.58333333333333E+016,0,12.7,3.7,-1.7,Graduate
1,1,2,9500,1,1,130.0,1,1,38,9,9,125.1,1,0,0,1,0,1,18,0,0,7,9,6,1.28166666666666E+016,0,0,8,11,6,12875,0,11.1,0.6,2.02,Enrolled
1,15,1,9147,1,1,133.1,41,41,1,3,4,100.0,0,0,1,0,1,0,26,1,6,7,7,6,13.0,0,2,6,6,2,14.0,0,11.1,0.6,2.02,Dropout
1,15,1,9119,1,1,160.0,32,1,3,143,152,160.0,0,0,1,1,0,0,19,1,0,6,11,2,13.5,1,0,5,11,2,11.0,0,8.9,1.4,3.51,Enrolled
2,39,1,8014,0,1,140.0,1,37,37,9,9,101.0,0,0,0,1,0,0,35,0,0,6,7,6,12.5,0,0,6,6,6,1.21666666666666E+016,0,15.5,2.8,-4.06,Graduate
1,18,1,9670,1,1,133.0,1,1,1,9,9,121.5,1,0,0,1,0,1,19,0,0,6,7,6,13.0,0,0,6,6,6,1.43333333333333E+016,0,12.4,0.5,1.79,Graduate
1,1,1,9085,1,1,138.0,1,38,37,9,6,126.8,1,0,0,1,1,0,18,0,0,5,6,4,11.75,0,0,5,10,5,1.25714285714285E+016,1,10.8,1.4,1.74,Graduate
1,1,5,9670,1,1,142.0,1,19,19,7,3,132.9,0,0,0,1,1,0,19,0,0,5,5,4,12.5,0,0,5,5,4,14.25,0,7.6,2.6,0.32,Graduate
1,1,1,171,1,1,115.0,1,1,1,9,9,134.3,1,0,0,1,1,0,25,0,16,17,19,17,1161111111111110,0,14,17,22,17,1.20555555555555E+016,0,12.4,0.5,1.79,Graduate
1,17,6,9254,1,1,125.0,1,1,1,4,3,120.5,1,0,0,1,1,0,18,0,0,6,6,6,14.0,0,0,6,6,6,1.46666666666666E+016,0,11.1,0.6,2.02,Graduate
1,17,1,9003,1,1,170.0,1,1,4,9,5,144.1,1,0,1,0,1,0,26,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
1,43,1,9991,0,1,140.0,1,1,1,6,6,100.0,0,0,0,1,1,0,34,0,0,5,5,5,13.8,0,0,5,6,5,1.38333333333333E+016,0,9.4,-0.8,-3.12,Graduate
1,1,2,9254,1,1,110.0,1,4,19,4,3,114.8,1,0,0,0,1,0,18,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
1,1,1,171,1,1,114.0,1,3,29,3,5,111.9,0,0,0,0,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1,17,3,9119,1,1,138.0,1,1,19,4,3,125.4,1,0,0,1,1,1,18,0,0,5,9,4,12.25,0,0,5,9,3,1.23333333333333E+016,0,8.9,1.4,3.51,Dropout
1,44,1,9003,1,39,140.0,1,37,37,9,4,140.0,0,0,0,1,1,0,20,0,0,6,12,3,11.5,0,0,6,12,3,1.36666666666666E+016,0,12.4,0.5,1.79,Dropout
1,44,1,9070,1,39,140.0,1,1,19,4,4,140.0,0,0,0,1,1,0,25,0,2,7,9,6,1.25714285714285E+016,0,5,9,9,9,1.25555555555555E+016,0,16.2,0.3,-0.92,Graduate
1,17,1,9130,1,1,132.0,1,2,1,4,1,127.8,0,0,0,1,1,0,18,0,0,6,9,6,12.0,0,0,6,10,5,1.21666666666666E+016,0,11.1,0.6,2.02,Dropout
1,1,1,9003,1,1,148.0,1,19,37,9,9,131.6,1,0,0,1,1,0,19,0,8,12,17,11,12.0,2,4,12,21,12,1.23076923076923E+016,0,15.5,2.8,-4.06,Graduate
1,1,1,171,1,1,132.0,1,1,1,4,1,119.4,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,18,2,9238,1,1,126.0,1,19,37,5,7,129.9,1,0,0,1,1,1,20,0,1,7,9,6,12.0,0,2,6,6,6,1.11666666666666E+016,0,10.8,1.4,1.74,Graduate
1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
1,1,2,9147,1,1,120.0,1,1,37,4,9,113.4,1,0,0,1,1,1,19,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
1,1,1,9147,1,1,123.0,1,1,19,4,5,117.8,0,0,0,1,1,0,20,0,0,5,9,5,12.0,0,0,5,9,4,13.0,0,8.9,1.4,3.51,Enrolled
